Timestamp,Voltage (V),Current (A)
2025-04-14T21:16:54.445Z,3.07,0.49
2025-04-14T21:16:55.445Z,0.73,0.58
2025-04-14T21:16:56.445Z,4.3,0.72
2025-04-14T21:16:57.446Z,0.44,0.78
2025-04-14T21:16:58.446Z,4.23,1.09
2025-04-14T21:16:59.446Z,4.4,1.65
2025-04-14T21:17:00.447Z,4.92,0.42
2025-04-14T21:17:01.453Z,4.87,1.03
2025-04-14T21:17:02.449Z,3.27,1.29
2025-04-14T21:17:03.450Z,3.4,0.12
2025-04-14T21:17:04.450Z,3.03,1.69
2025-04-14T21:17:05.451Z,2.09,1.57
2025-04-14T21:17:06.452Z,0.6,1.33
2025-04-14T21:17:07.452Z,0.99,0.78
2025-04-14T21:17:08.453Z,3.16,1.35
2025-04-14T21:17:09.453Z,0.97,0.26
2025-04-14T21:17:10.453Z,0.12,0.67
2025-04-14T21:17:11.454Z,3.1,0.33
2025-04-14T21:17:12.455Z,4.79,1.49
2025-04-14T21:17:13.456Z,0.79,0.21
2025-04-14T21:17:14.456Z,4.67,0.72
2025-04-14T21:17:15.457Z,3.93,1.36
2025-04-14T21:17:16.458Z,4.85,1.45
2025-04-14T21:17:17.459Z,2.28,0.91
2025-04-14T21:17:18.459Z,1.94,1.57
2025-04-14T21:17:19.461Z,0.01,1.53
2025-04-14T21:17:20.465Z,2.08,1.44
2025-04-14T21:17:21.464Z,1.68,0.9
2025-04-14T21:17:22.466Z,1.24,1.96
2025-04-14T21:17:23.466Z,0.3,1.03
2025-04-14T21:17:24.465Z,2.22,0.66
2025-04-14T21:17:25.465Z,0.49,0.24
2025-04-14T21:17:26.467Z,3.01,0.53
2025-04-14T21:17:27.466Z,4.77,0.08
2025-04-14T21:17:28.466Z,2.28,1.33
2025-04-14T21:17:29.467Z,2.98,1.81
2025-04-14T21:17:30.468Z,1.35,0.13
2025-04-14T21:17:31.469Z,3.65,0.14
2025-04-14T21:17:32.469Z,0.63,1.36
2025-04-14T21:17:33.470Z,4.25,0.69
2025-04-14T21:17:34.470Z,1.15,0.94
2025-04-14T21:17:35.472Z,1.29,1.01
2025-04-14T21:17:36.472Z,0.17,1.95
2025-04-14T21:17:37.472Z,1.05,0.04
2025-04-14T21:17:38.507Z,4.51,0.98
2025-04-14T21:17:39.474Z,1.88,1.23
2025-04-14T21:17:40.482Z,0.05,0.82
2025-04-14T21:17:41.475Z,2.52,1.66
2025-04-14T21:17:42.476Z,2.16,1.37
2025-04-14T21:17:43.477Z,4.38,1.44
2025-04-14T21:17:44.478Z,0.01,0.97
2025-04-14T21:17:45.480Z,3.71,0.28
2025-04-14T21:17:46.479Z,1.37,1.58
2025-04-14T21:17:47.480Z,1.77,1.97
2025-04-14T21:17:48.480Z,2.94,1.04
2025-04-14T21:17:49.481Z,1.09,0.31
2025-04-14T21:17:50.482Z,2.45,1.75
2025-04-14T21:17:51.483Z,1.35,0.98
2025-04-14T21:17:52.483Z,1.42,1.99
2025-04-14T21:17:53.485Z,4.68,0.12
2025-04-14T21:17:54.492Z,2.6,1.57
2025-04-14T21:17:55.492Z,0.94,0.08
2025-04-14T21:17:56.494Z,3.95,1.68
2025-04-14T21:17:57.494Z,1.13,1.3
2025-04-14T21:17:58.494Z,0.06,1.62
2025-04-14T21:17:59.495Z,4.42,1.65
2025-04-14T21:18:00.496Z,0.82,0.52
2025-04-14T21:18:01.497Z,2.67,0.21
2025-04-14T21:18:02.497Z,1.95,1.12
2025-04-14T21:18:03.498Z,1.71,1.01
2025-04-14T21:18:04.500Z,0.9,0.31
2025-04-14T21:18:05.500Z,2.38,0.57
2025-04-14T21:18:06.500Z,1.16,1.9
2025-04-14T21:18:07.503Z,1.4,0.79
2025-04-14T21:18:08.502Z,3.35,0.06
2025-04-14T21:18:09.502Z,4.72,0.98
2025-04-14T21:18:10.503Z,0.95,1.19
2025-04-14T21:18:11.504Z,4.54,0.23
2025-04-14T21:18:12.504Z,2.89,1.6
2025-04-14T21:18:13.513Z,4.05,1.26
2025-04-14T21:18:14.512Z,1.23,1.06
2025-04-14T21:18:15.506Z,3.13,1.7
2025-04-14T21:18:16.508Z,2.38,0.94
2025-04-14T21:18:17.508Z,2.2,0.44
2025-04-14T21:18:18.508Z,3.66,1.34
2025-04-14T21:18:19.509Z,2.26,1.94
2025-04-14T21:18:20.510Z,3.63,1.38
2025-04-14T21:18:21.511Z,3.44,1.9
2025-04-14T21:18:22.511Z,0.5,1.59
2025-04-14T21:18:23.513Z,1.23,1.47
2025-04-14T21:18:24.513Z,3.85,0.17
2025-04-14T21:18:25.514Z,2.72,1.39
2025-04-14T21:18:26.515Z,2.47,1.85
2025-04-14T21:18:27.516Z,4.96,0.85
2025-04-14T21:18:28.516Z,1.23,0.2
2025-04-14T21:18:29.516Z,1.44,1.68
2025-04-14T21:18:30.517Z,2.35,1.15
2025-04-14T21:18:31.520Z,1.25,1.34
2025-04-14T21:18:32.532Z,0.42,0.11
2025-04-14T21:18:33.526Z,1.79,1.52
2025-04-14T21:18:34.521Z,2.44,0.95
2025-04-14T21:18:35.533Z,3.18,1.96
2025-04-14T21:18:36.522Z,1.92,0.15
2025-04-14T21:18:37.521Z,4.91,0.33
2025-04-14T21:18:38.524Z,1.69,1.97
2025-04-14T21:18:39.525Z,0.53,1.47
2025-04-14T21:18:40.524Z,3.25,0.1
2025-04-14T21:18:41.525Z,1.62,0.11
2025-04-14T21:18:42.538Z,3.08,1.77
2025-04-14T21:18:43.526Z,2.61,0.25
2025-04-14T21:18:44.527Z,3.35,0.68
2025-04-14T21:18:45.529Z,4.95,1.76
2025-04-14T21:18:46.530Z,2.67,0.39
2025-04-14T21:18:47.529Z,3.74,1.31
2025-04-14T21:18:48.530Z,0.56,1.01
2025-04-14T21:18:49.531Z,3.72,1.6
2025-04-14T21:18:50.531Z,0.94,1.84
2025-04-14T21:18:51.532Z,2.55,1.89
2025-04-14T21:18:52.533Z,4.07,0.15
2025-04-14T21:18:53.534Z,1.93,1.69
2025-04-14T21:18:54.531Z,1.8,0.55
2025-04-14T21:18:55.532Z,3.55,1.06
2025-04-14T21:18:56.532Z,4.63,1.02
2025-04-14T21:18:57.532Z,1.76,1.08
2025-04-14T21:18:58.539Z,2.49,1.31
2025-04-14T21:18:59.534Z,3.44,0.38
2025-04-14T21:19:00.535Z,3.08,1.97
2025-04-14T21:19:01.536Z,1.51,0.49
2025-04-14T21:19:02.536Z,2.03,1.31
2025-04-14T21:19:03.537Z,0.31,0.14
2025-04-14T21:19:04.537Z,4.19,1.75
2025-04-14T21:19:05.539Z,0.09,1.8
2025-04-14T21:19:06.539Z,4.29,0.23
2025-04-14T21:19:07.540Z,0.54,0.6
2025-04-14T21:19:08.543Z,2.37,1.45
2025-04-14T21:19:09.542Z,3.17,1.25
2025-04-14T21:19:10.542Z,2,0.56
2025-04-14T21:19:11.542Z,0.64,1.97
2025-04-14T21:19:12.543Z,1.48,1.04
2025-04-14T21:19:13.543Z,0.5,1.5
2025-04-14T21:19:14.545Z,4.76,0.12
2025-04-14T21:19:15.545Z,0.54,1.97
2025-04-14T21:19:16.546Z,0.04,1.81
2025-04-14T21:19:17.547Z,2.48,0.65
2025-04-14T21:19:18.549Z,3.78,0.99
2025-04-14T21:19:19.548Z,2.09,1.29
2025-04-14T21:19:20.549Z,0.53,0.83
2025-04-14T21:19:21.549Z,4.47,0.07
2025-04-14T21:19:22.550Z,2.73,1.22
2025-04-14T21:19:23.552Z,3.05,1.76
2025-04-14T21:19:24.552Z,0.53,0.24
2025-04-14T21:19:25.552Z,1.3,1.66
2025-04-14T21:19:26.553Z,4,0.44
2025-04-14T21:19:27.554Z,3.7,0.85
2025-04-14T21:19:28.555Z,0.16,0.98
2025-04-14T21:19:29.555Z,1.55,1.33
2025-04-14T21:19:30.557Z,0.57,1.76
2025-04-14T21:19:31.557Z,1.78,0.66
2025-04-14T21:19:32.557Z,3.57,1.11
2025-04-14T21:19:33.557Z,3.78,0.14
2025-04-14T21:19:34.559Z,3.19,1.37
2025-04-14T21:19:35.560Z,1.33,1.91
2025-04-14T21:19:36.560Z,2.2,1.62
2025-04-14T21:19:37.561Z,1.33,1.97
2025-04-14T21:19:38.562Z,0.31,1.88
2025-04-14T21:19:39.562Z,0.89,0.73
2025-04-14T21:19:40.563Z,3.77,1.04
2025-04-14T21:19:41.564Z,3.58,0
2025-04-14T21:19:42.564Z,2.54,1.6
2025-04-14T21:19:43.566Z,4.15,1.47
2025-04-14T21:19:44.565Z,4.8,1.3
2025-04-14T21:19:45.566Z,4.55,1.46
2025-04-14T21:19:46.567Z,1.07,0.38
2025-04-14T21:19:47.567Z,0,1.26
2025-04-14T21:19:48.568Z,0.35,0.57
2025-04-14T21:19:49.569Z,1.13,1.14
2025-04-14T21:19:50.570Z,0.93,1.6
2025-04-14T21:19:51.570Z,3.54,0.18
2025-04-14T21:19:52.571Z,3.57,1.85
2025-04-14T21:19:53.572Z,2.29,0.15
2025-04-14T21:19:54.570Z,0.63,1.02
2025-04-14T21:19:55.572Z,4.17,0.43
2025-04-14T21:19:56.572Z,4.19,1.67
2025-04-14T21:19:57.573Z,2.47,0.69
2025-04-14T21:19:58.573Z,3.95,1.03
2025-04-14T21:19:59.574Z,4.73,1.03
2025-04-14T21:20:00.575Z,2.48,1.85
2025-04-14T21:20:01.575Z,1.58,0.59
2025-04-14T21:20:02.576Z,4.06,1.3
2025-04-14T21:20:03.576Z,3.24,1.32
2025-04-14T21:20:04.577Z,4.73,0.03
2025-04-14T21:20:05.578Z,3.97,1.2
2025-04-14T21:20:06.579Z,4.5,0.31
2025-04-14T21:20:07.589Z,4.8,0.03
2025-04-14T21:20:08.581Z,4,1.2
2025-04-14T21:20:09.580Z,0.33,0.58
2025-04-14T21:20:10.581Z,0.03,0.76
2025-04-14T21:20:11.583Z,4.5,1.34
2025-04-14T21:20:12.583Z,2.8,0.79
2025-04-14T21:20:13.584Z,3.32,1.74
2025-04-14T21:20:14.585Z,0.49,1.42
2025-04-14T21:20:15.585Z,2.49,1.71
2025-04-14T21:20:16.586Z,3.1,0.79
2025-04-14T21:20:17.587Z,4.83,1.7
2025-04-14T21:20:18.588Z,0.4,1.23
2025-04-14T21:20:19.588Z,1.5,1.71
2025-04-14T21:20:20.589Z,2.29,1.18
2025-04-14T21:20:21.589Z,2.46,0.99
2025-04-14T21:20:22.590Z,2.3,0.21
2025-04-14T21:20:23.591Z,2.76,1.24
2025-04-14T21:20:24.592Z,2.44,1.58
2025-04-14T21:20:25.592Z,1.96,1.71
2025-04-14T21:20:26.593Z,0.64,1.6
2025-04-14T21:20:27.594Z,0.98,1.51
2025-04-14T21:20:28.595Z,4.4,1.03
2025-04-14T21:20:29.596Z,0.51,0.01
2025-04-14T21:20:30.597Z,2.05,0.8
2025-04-14T21:20:31.597Z,4.18,0.74
2025-04-14T21:20:32.598Z,1.49,0.13
2025-04-14T21:20:33.598Z,3.2,0.25
2025-04-14T21:20:34.599Z,0.12,1.83
2025-04-14T21:20:35.599Z,2.88,1.17
2025-04-14T21:20:36.600Z,0.08,1.5
2025-04-14T21:20:37.600Z,3.24,1.95
2025-04-14T21:20:38.600Z,2.57,1.11
2025-04-14T21:20:39.602Z,1.9,0.66
2025-04-14T21:20:40.603Z,4.1,1.93
2025-04-14T21:20:41.603Z,0.53,1.65
2025-04-14T21:20:42.604Z,4.6,1.42
2025-04-14T21:20:43.605Z,4.03,1.52
2025-04-14T21:20:44.606Z,3.07,1.41
2025-04-14T21:20:45.606Z,4.1,0
2025-04-14T21:20:46.607Z,2.99,1.27
2025-04-14T21:20:47.607Z,1.71,1.87
2025-04-14T21:20:48.608Z,4.14,0.25
2025-04-14T21:20:49.609Z,1.41,1.17
2025-04-14T21:20:50.610Z,3.48,0.42
2025-04-14T21:20:51.611Z,3.15,1.74
2025-04-14T21:20:52.611Z,4.45,1.73
2025-04-14T21:20:53.612Z,2.2,1.11
2025-04-14T21:20:54.621Z,2.39,0.54
2025-04-14T21:20:55.621Z,3.05,1.29
2025-04-14T21:20:56.621Z,2.53,1.89
2025-04-14T21:20:57.622Z,1.66,1.56
2025-04-14T21:20:58.622Z,3.04,0.6
2025-04-14T21:20:59.624Z,3.98,1.92
2025-04-14T21:21:00.624Z,2.2,1.16
2025-04-14T21:21:01.625Z,0.8,0.67
2025-04-14T21:21:02.625Z,3.52,1.39
2025-04-14T21:21:03.627Z,1.98,1.01
2025-04-14T21:21:04.628Z,3.11,0.16
2025-04-14T21:21:05.627Z,3.91,0.71
2025-04-14T21:21:06.628Z,2.28,0.71
2025-04-14T21:21:07.629Z,1.61,0.45
2025-04-14T21:21:08.630Z,1.2,0.4
2025-04-14T21:21:09.630Z,1.58,0.53
